anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 10,cuadro 10,Categoria,,50.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,46.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,70.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,70.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,68.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,75.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,82.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,64.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,57.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,53.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,1192.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,59.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,45.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,41.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,37.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,43.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,44.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,28.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,25.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,34.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,22.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,37.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,46.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,46.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,38.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,34.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,54.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,36.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,38.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,40.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,38.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,39.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,47.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,32.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,35.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,46.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,28.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,39.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,37.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,49.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,34.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,21.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,401.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,13.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,14.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,9.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,13.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,13.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,11.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,9.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,18.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,10.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,16.0,hechos,10,PRPNC24_cuadro_10.csv
